"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ",4680,428,11,211,137,171,0.39953271028037385,1.0287975379204222,110.76,118.872457557,8.112457556999999
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ",606,95,2,69,34,38,0.4,1.0918918918918918,22.03,12.850281278499999,-9.179718721500002
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ",471,72,0,37,17,29,0.4027777777777778,1.1775,18.86,24.270600835499998,5.410600835499999
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ",6052,649,19,366,222,268,0.41294298921417566,1.0602662929222144,158.37,206.382875728,48.01287572799998
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ",131,26,43,20,9,11,0.4230769230769231,1.0155038759689923,3.11,2.8730552785,-0.2369447215
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ",529,56,2,41,22,26,0.4642857142857143,1.1279317697228144,20.58,13.743360278499999,-6.836639721499999
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ",625,77,77,57,28,36,0.4675324675324675,1.134301270417423,29.27,27.098817557000004,-2.1711824429999957
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ",1715,158,2,145,62,86,0.5443037974683544,1.1619241192411924,74.53,67.79639294849999,-6.733607051500016
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ",560,42,36,28,19,23,0.5476190476190477,1.0916179337231968,17.11,24.888939,7.778939000000001
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ",785,92,92,88,36,53,0.5760869565217391,1.134393063583815,18.52,22.944513835500004,4.424513835500004
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ",1166,76,74,54,35,54,0.7105263157894737,1.1442590775269872,19.73,23.184246823899997,3.4542468238999966
"Total","Anastasia",,,,9291,316,239,242,89,112,0.35443037974683544,1.5917423333904404,195.23,198.0197824619,2.7897824619000176
"Total","Anastasia","six0js065v","HomeWarranty","six0js065v_0827_HomeWarranty_FB_TriviaLibrary_RSOC_AU",0,0,0,0,0,0,0,0,0,0,0
"Total","Anastasia","sibn5d306ym","SenInternet","sibn5d306ym_0911_HomeWarrantyt_FB_FoundDelights_RSOC_AU",0,0,0,0,0,0,0,0,0,0,0
"Total","Anastasia","si6125i0633","WaterDamageUS","si6125i0633_0915_WaterDamage_FB_TriviaLibrary_RSOC_AU",0,0,0,0,0,0,0,0,0,0,0
